timestamp,omega,khra_amp,gixx_amp,coherence,asymmetry,vorticity_mean,gpu_temp_c,gpu_power_w,cycle
2026-03-27T14:54:52.581839,0.5,0.01,0.004,0.7378,12.6386,0.033215,59,283.3,372630
2026-03-27T14:54:55.597734,0.5,0.01,0.006,0.7378,12.6386,0.033215,59,283.3,372630
2026-03-27T14:54:58.635249,0.5,0.01,0.008,0.7378,12.6386,0.033215,59,283.3,372630
2026-03-27T14:55:01.682324,0.5,0.01,0.01,0.7378,12.6386,0.033215,59,283.3,372630
2026-03-27T14:55:04.714862,0.5,0.01,0.012,0.7378,12.6386,0.033215,59,283.3,372630
2026-03-27T14:55:07.746771,0.5,0.02,0.004,0.7378,12.6386,0.033215,59,283.3,372630
2026-03-27T14:55:10.782610,0.5,0.02,0.006,0.7378,12.6386,0.033215,59,283.3,372630
2026-03-27T14:55:13.853899,0.5,0.02,0.008,0.7379,12.6168,0.022904,59,293.8,372830
2026-03-27T14:55:16.927065,0.5,0.02,0.01,0.7385,12.5507,0.022872,59,284.2,373210
2026-03-27T14:55:19.976169,0.5,0.02,0.012,0.738,12.6034,0.023488,60,300.0,373590
2026-03-27T14:55:23.036442,0.5,0.03,0.004,0.7384,12.5614,0.02267,60,302.0,373960
2026-03-27T14:55:26.092602,0.5,0.03,0.006,0.7384,12.5545,0.022817,52,64.7,374340
2026-03-27T14:55:29.153382,0.5,0.03,0.008,0.7379,12.6363,0.02356,52,89.4,374720
2026-03-27T14:55:32.197999,0.5,0.03,0.01,0.7381,12.5795,0.023681,51,71.7,375100
2026-03-27T14:55:35.222222,0.5,0.03,0.012,0.7379,12.634,0.032325,51,68.2,375260
2026-03-27T14:55:38.240698,0.5,0.04,0.004,0.7379,12.634,0.032325,51,68.2,375260
2026-03-27T14:55:41.271730,0.5,0.04,0.006,0.7379,12.634,0.032325,51,68.2,375260
2026-03-27T14:55:44.298475,0.5,0.04,0.008,0.7379,12.634,0.032325,51,68.2,375260
2026-03-27T14:55:47.324098,0.5,0.04,0.01,0.7379,12.634,0.032325,51,68.2,375260
2026-03-27T14:55:50.339719,0.5,0.04,0.012,0.7379,12.634,0.032325,51,68.2,375260
2026-03-27T14:55:53.359675,0.5,0.05,0.004,0.7379,12.634,0.032325,51,68.2,375260
2026-03-27T14:55:56.375470,0.5,0.05,0.006,0.7379,12.634,0.032325,51,68.2,375260
2026-03-27T14:55:59.397036,0.5,0.05,0.008,0.7379,12.634,0.032325,51,68.2,375260
2026-03-27T14:56:02.427731,0.5,0.05,0.01,0.7379,12.634,0.032325,51,68.2,375260
2026-03-27T14:56:05.446605,0.5,0.05,0.012,0.7379,12.634,0.032325,51,68.2,375260
2026-03-27T14:56:08.464060,0.6,0.01,0.004,0.7379,12.634,0.032325,51,68.2,375260
2026-03-27T14:56:11.530271,0.6,0.01,0.006,0.7391,12.4623,0.025517,51,67.9,375440
2026-03-27T14:56:14.552272,0.6,0.01,0.008,0.7376,12.6509,0.030728,50,61.9,375630
2026-03-27T14:56:17.570731,0.6,0.01,0.01,0.7376,12.6509,0.030728,50,61.9,375630
2026-03-27T14:56:20.587619,0.6,0.01,0.012,0.7376,12.6509,0.030728,50,61.9,375630
2026-03-27T14:56:23.603713,0.6,0.02,0.004,0.7376,12.6509,0.030728,50,61.9,375630
2026-03-27T14:56:26.635420,0.6,0.02,0.006,0.7376,12.6509,0.030728,50,61.9,375630
2026-03-27T14:56:29.656712,0.6,0.02,0.008,0.7376,12.6509,0.030728,50,61.9,375630
2026-03-27T14:56:32.682667,0.6,0.02,0.01,0.7376,12.6509,0.030728,50,61.9,375630
