timestamp,omega,khra_amp,gixx_amp,coherence,asymmetry,vorticity_mean,gpu_temp_c,gpu_power_w,cycle
2026-03-27T08:07:21.078479,0.5,0.01,0.004,0.7398,12.3748,0.024779,57,284.2,168600
2026-03-27T08:07:24.118714,0.5,0.01,0.006,0.7398,12.3748,0.024779,57,284.2,168600
2026-03-27T08:07:27.243610,0.5,0.01,0.008,0.7398,12.3748,0.024779,57,284.2,168600
2026-03-27T08:07:30.285201,0.5,0.01,0.01,0.7398,12.3748,0.024779,57,284.2,168600
2026-03-27T08:07:33.330679,0.5,0.01,0.012,0.7398,12.3748,0.024779,57,284.2,168600
2026-03-27T08:07:36.378130,0.5,0.02,0.004,0.7398,12.3748,0.024779,57,284.2,168600
2026-03-27T08:07:39.421194,0.5,0.02,0.006,0.7398,12.3748,0.024779,57,284.2,168600
2026-03-27T08:07:42.461700,0.5,0.02,0.008,0.7398,12.3748,0.024779,57,284.2,168600
2026-03-27T08:07:45.493716,0.5,0.02,0.01,0.7398,12.3748,0.024779,57,284.2,168600
2026-03-27T08:07:48.524094,0.5,0.02,0.012,0.7398,12.3748,0.024779,57,284.2,168600
2026-03-27T08:07:51.563933,0.5,0.03,0.004,0.7398,12.3748,0.024779,57,284.2,168600
2026-03-27T08:07:54.602633,0.5,0.03,0.006,0.7388,12.4945,0.02277,56,284.4,168750
2026-03-27T08:07:57.732784,0.5,0.03,0.008,0.738,12.5859,0.029666,57,281.8,169160
2026-03-27T08:08:00.762251,0.5,0.03,0.01,0.7381,12.5841,0.03234,51,104.5,169550
2026-03-27T08:08:03.811523,0.5,0.03,0.012,0.7394,12.4067,0.030491,60,300.8,169960
2026-03-27T08:08:06.829566,0.5,0.04,0.004,0.7397,12.3886,0.022959,57,292.7,170370
2026-03-27T08:08:09.878056,0.5,0.04,0.006,0.7389,12.4841,0.025797,56,286.1,170780
2026-03-27T08:08:12.901801,0.5,0.04,0.008,0.7383,12.549,0.026756,57,293.0,171160
2026-03-27T08:08:15.936515,0.5,0.04,0.01,0.7381,12.5774,0.027559,57,289.6,171540
2026-03-27T08:08:18.968849,0.5,0.04,0.012,0.7401,12.3386,0.028897,57,288.3,171600
2026-03-27T08:08:22.000702,0.5,0.05,0.004,0.7401,12.3386,0.028897,57,288.3,171600
2026-03-27T08:08:25.027455,0.5,0.05,0.006,0.7401,12.3386,0.028897,57,288.3,171600
2026-03-27T08:08:28.157533,0.5,0.05,0.008,0.7401,12.3386,0.028897,57,288.3,171600
2026-03-27T08:08:31.176994,0.5,0.05,0.01,0.7401,12.3386,0.028897,57,288.3,171600
2026-03-27T08:08:34.199470,0.5,0.05,0.012,0.7401,12.3386,0.028897,57,288.3,171600
2026-03-27T08:08:37.250035,0.6,0.01,0.004,0.7401,12.3386,0.028897,57,288.3,171600
2026-03-27T08:08:40.272245,0.6,0.01,0.006,0.7401,12.3386,0.028897,57,288.3,171600
