
===================================================================
  P R O B E ΓÇö Stress-Response Forensics
===================================================================
  Probe A  cy 600-649:  Metabolic Injection (+mass)
  Probe B  cy 800:     Lattice Shear (top 25% rotated 90┬░)
  Probe C  cy 1100-1199: VRM Silence (omega locked 1.25)
  Probe D  cy 1400-1499: Vacuum Trap (10 particles at 10x accretion)
===================================================================

[CUDA] NVIDIA GeForce RTX 4090  SM 8.9  SMs: 128
[NVML] Idle: 41.1 W

  Power EMA: 41.1 W ΓÇö lattice re-initialized

  cyc  |  T+      |  omega  | speed range  | rho range          | enst       | part | p.mass   | M_total     | probe
  -----|----------|---------|-------------- |--------------------|------------|------|----------|-------------|------
  ** NEW GUARDIAN  T+0:00:00  cy0 b32  (0,8)  rho=1.00022  accreted=0.0048  total=1  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b33  (94,225)  rho=1.00022  accreted=0.0048  total=2  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b34  (31,191)  rho=1.00023  accreted=0.0048  total=3  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b35  (46,226)  rho=1.00023  accreted=0.0049  total=4  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b36  (9,242)  rho=1.00023  accreted=0.0049  total=5  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b37  (28,42)  rho=1.00023  accreted=0.0049  total=6  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b38  (170,33)  rho=1.00023  accreted=0.0049  total=7  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b39  (70,224)  rho=1.00023  accreted=0.0050  total=8  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b40  (90,45)  rho=1.00023  accreted=0.0050  total=9  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b41  (105,141)  rho=1.00023  accreted=0.0050  total=10  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b42  (41,127)  rho=1.00023  accreted=0.0051  total=11  [---]
   345 | 0:07:48 | 1.2350 | 4.998583e-08 | [1.00117,1.00117] | 7.607e-13 |   13 |     8.66 |    65621.06 | ---
   346 | 0:07:51 | 1.2533 | 4.998583e-08 | [1.00117,1.00117] | 7.541e-13 |   13 |     8.68 |    65621.09 | ---
   347 | 0:07:54 | 1.2517 | 5.392940e-08 | [1.00117,1.00117] | 7.099e-13 |   13 |     8.71 |    65621.12 | ---
   348 | 0:07:57 | 1.2577 | 5.129550e-08 | [1.00117,1.00117] | 7.691e-13 |   13 |     8.73 |    65621.14 | ---
   349 | 0:07:59 | 1.2523 | 4.998583e-08 | [1.00117,1.00117] | 6.345e-13 |   13 |     8.76 |    65621.17 | ---
   350 | 0:08:02 | 1.2332 | 4.998583e-08 | [1.00117,1.00117] | 7.819e-13 |   13 |     8.78 |    65621.19 | ---
  [GHOST] Particle positions (first 20):
    #0  pos( 174.9,  90.0)  mass=0.68  latent=1.993e-04  delta=+1.993e-04  PULSE
    #1  pos(  13.0,  51.0)  mass=0.68  latent=1.993e-04  delta=+1.993e-04  PULSE
    #2  pos( 206.0,  16.9)  mass=0.68  latent=1.993e-04  delta=+1.993e-04  PULSE
    #3  pos( 221.1,  51.8)  mass=0.68  latent=1.993e-04  delta=+1.993e-04  PULSE
    #4  pos( 184.2,  67.8)  mass=0.68  latent=1.993e-04  delta=+1.993e-04  PULSE
    #5  pos( 203.2, 123.7)  mass=0.68  latent=1.993e-04  delta=+1.993e-04  PULSE
    #6  pos(  89.3, 114.6)  mass=0.68  latent=1.993e-04  delta=+1.993e-04  PULSE
    #7  pos( 245.4,  49.6)  mass=0.68  latent=1.993e-04  delta=+1.993e-04  PULSE
    #8  pos(   9.4, 126.5)  mass=0.68  latent=1.993e-04  delta=+1.993e-04  PULSE
    #9  pos(  24.6, 222.4)  mass=0.68  latent=1.993e-04  delta=+1.993e-04  PULSE
    #10  pos( 216.6, 208.3)  mass=0.68  latent=1.993e-04  delta=+1.993e-04  PULSE
    #11  pos( 237.7,   9.3)  mass=0.68  latent=1.993e-04  delta=+1.993e-04  PULSE
    #12  pos( 148.7, 149.2)  mass=0.68  latent=1.993e-04  delta=+1.993e-04  PULSE
   351 | 0:08:05 | 1.2564 | 4.998583e-08 | [1.00117,1.00117] | 7.683e-13 |   13 |     8.81 |    65621.22 | ---
   352 | 0:08:08 | 1.2592 | 5.000038e-08 | [1.00117,1.00117] | 7.886e-13 |   13 |     8.83 |    65621.24 | ---
   353 | 0:08:11 | 1.2499 | 5.000038e-08 | [1.00117,1.00117] | 4.774e-13 |   13 |     8.86 |    65621.27 | ---
   354 | 0:08:14 | 1.2540 | 4.998583e-08 | [1.00117,1.00117] | 7.140e-13 |   13 |     8.88 |    65621.29 | ---
   355 | 0:08:17 | 1.2518 | 4.998583e-08 | [1.00117,1.00117] | 7.256e-13 |   13 |     8.91 |    65621.32 | ---
   356 | 0:08:19 | 1.2466 | 5.129550e-08 | [1.00117,1.00117] | 2.765e-12 |   13 |     8.93 |    65621.34 | ---
   357 | 0:08:22 | 1.2380 | 4.998583e-08 | [1.00117,1.00117] | 2.780e-12 |   13 |     8.96 |    65621.37 | ---
   358 | 0:08:25 | 1.2313 | 4.998583e-08 | [1.00117,1.00117] | 7.660e-13 |   13 |     8.98 |    65621.39 | ---
   359 | 0:08:28 | 1.2533 | 5.394395e-08 | [1.00117,1.00117] | 7.681e-13 |   13 |     9.01 |    65621.42 | ---
   360 | 0:08:31 | 1.2360 | 4.998583e-08 | [1.00117,1.00117] | 2.776e-12 |   13 |     9.04 |    65621.44 | ---
   361 | 0:08:33 | 1.2377 | 5.525362e-08 | [1.00117,1.00117] | 7.058e-13 |   13 |     9.06 |    65621.47 | ---
   362 | 0:08:36 | 1.2530 | 4.998583e-08 | [1.00117,1.00117] | 7.508e-13 |   13 |     9.09 |    65621.49 | ---
   363 | 0:08:39 | 1.2454 | 5.129550e-08 | [1.00117,1.00117] | 2.742e-12 |   13 |     9.11 |    65621.52 | ---
   364 | 0:08:42 | 1.2539 | 4.998583e-08 | [1.00117,1.00117] | 4.356e-13 |   13 |     9.14 |    65621.54 | ---
   365 | 0:08:45 | 1.2303 | 4.998583e-08 | [1.00117,1.00117] | 7.185e-13 |   13 |     9.16 |    65621.57 | ---
   366 | 0:08:48 | 1.2488 | 5.000038e-08 | [1.00117,1.00117] | 6.453e-13 |   13 |     9.19 |    65621.59 | ---
   367 | 0:08:50 | 1.2398 | 4.998583e-08 | [1.00117,1.00117] | 2.769e-12 |   13 |     9.21 |    65621.62 | ---
   368 | 0:08:53 | 1.2560 | 4.998583e-08 | [1.00117,1.00117] | 7.874e-13 |   13 |     9.24 |    65621.64 | ---
   369 | 0:08:54 | 1.2501 | 5.000038e-08 | [1.00117,1.00117] | 7.108e-13 |   13 |     9.26 |    65621.67 | ---
   370 | 0:08:56 | 1.2526 | 4.998583e-08 | [1.00117,1.00117] | 7.121e-13 |   13 |     9.29 |    65621.69 | ---
   371 | 0:08:58 | 1.2941 | 4.998583e-08 | [1.00117,1.00117] | 2.759e-12 |   13 |     9.31 |    65621.72 | ---
   372 | 0:09:01 | 1.2408 | 5.129550e-08 | [1.00117,1.00117] | 2.777e-12 |   13 |     9.34 |    65621.74 | ---
   373 | 0:09:04 | 1.2351 | 5.000038e-08 | [1.00117,1.00117] | 6.365e-13 |   13 |     9.36 |    65621.77 | ---
   374 | 0:09:07 | 1.2410 | 5.394395e-08 | [1.00117,1.00117] | 2.779e-12 |   13 |     9.39 |    65621.79 | ---
   375 | 0:09:10 | 1.2601 | 4.998583e-08 | [1.00117,1.00117] | 7.664e-13 |   13 |     9.41 |    65621.82 | ---
   376 | 0:09:13 | 1.2366 | 5.131005e-08 | [1.00117,1.00117] | 2.792e-12 |   13 |     9.44 |    65621.84 | ---
   377 | 0:09:15 | 1.2891 | 4.998583e-08 | [1.00117,1.00117] | 2.795e-12 |   13 |     9.46 |    65621.87 | ---
   378 | 0:09:18 | 1.2542 | 5.129550e-08 | [1.00117,1.00117] | 7.095e-13 |   13 |     9.49 |    65621.89 | ---
   379 | 0:09:21 | 1.2576 | 4.998583e-08 | [1.00117,1.00117] | 5.249e-13 |   13 |     9.51 |    65621.92 | ---
   380 | 0:09:24 | 1.2578 | 4.998583e-08 | [1.00117,1.00117] | 2.769e-12 |   13 |     9.54 |    65621.94 | ---
   381 | 0:09:27 | 1.2480 | 4.998583e-08 | [1.00117,1.00117] | 4.876e-13 |   13 |     9.56 |    65621.97 | ---
   382 | 0:09:30 | 1.2530 | 4.998583e-08 | [1.00117,1.00117] | 7.166e-13 |   13 |     9.59 |    65621.99 | ---
   383 | 0:09:32 | 1.2640 | 4.998583e-08 | [1.00117,1.00117] | 8.475e-13 |   13 |     9.61 |    65622.02 | ---
   384 | 0:09:35 | 1.2629 | 5.129550e-08 | [1.00117,1.00117] | 2.760e-12 |   13 |     9.64 |    65622.04 | ---
   385 | 0:09:38 | 1.2468 | 5.129550e-08 | [1.00117,1.00117] | 2.767e-12 |   13 |     9.66 |    65622.07 | ---
   386 | 0:09:41 | 1.2600 | 4.998583e-08 | [1.00117,1.00117] | 7.038e-13 |   13 |     9.69 |    65622.09 | ---
   387 | 0:09:44 | 1.2765 | 4.998583e-08 | [1.00117,1.00117] | 5.218e-13 |   13 |     9.71 |    65622.12 | ---
   388 | 0:09:47 | 1.2440 | 4.998583e-08 | [1.00117,1.00117] | 2.770e-12 |   13 |     9.74 |    65622.14 | ---
   389 | 0:09:50 | 1.2468 | 4.998583e-08 | [1.00117,1.00117] | 2.780e-12 |   13 |     9.76 |    65622.17 | ---
   390 | 0:09:52 | 1.2408 | 5.000038e-08 | [1.00117,1.00117] | 7.131e-13 |   13 |     9.79 |    65622.19 | ---
   391 | 0:09:55 | 1.2433 | 4.998583e-08 | [1.00117,1.00117] | 2.755e-12 |   13 |     9.81 |    65622.22 | ---
   392 | 0:09:58 | 1.2420 | 5.129550e-08 | [1.00117,1.00117] | 2.760e-12 |   13 |     9.84 |    65622.24 | ---
   393 | 0:10:01 | 1.2379 | 5.392940e-08 | [1.00117,1.00117] | 2.760e-12 |   13 |     9.86 |    65622.27 | ---
   394 | 0:10:04 | 1.2539 | 4.998583e-08 | [1.00117,1.00117] | 7.801e-13 |   13 |     9.89 |    65622.30 | ---
   395 | 0:10:07 | 1.2455 | 4.998583e-08 | [1.00117,1.00117] | 2.754e-12 |   13 |     9.91 |    65622.32 | ---
   396 | 0:10:10 | 1.2377 | 5.000038e-08 | [1.00117,1.00117] | 2.766e-12 |   13 |     9.94 |    65622.35 | ---
   397 | 0:10:12 | 1.2323 | 5.131005e-08 | [1.00117,1.00117] | 7.250e-13 |   13 |     9.96 |    65622.37 | ---
   398 | 0:10:15 | 1.2513 | 4.998583e-08 | [1.00117,1.00117] | 6.982e-13 |   13 |     9.99 |    65622.40 | ---
   399 | 0:10:18 | 1.2306 | 4.998583e-08 | [1.00117,1.00117] | 2.797e-12 |   13 |    10.01 |    65622.42 | ---
   400 | 0:10:21 | 1.2357 | 4.998583e-08 | [1.00117,1.00117] | 7.136e-13 |   13 |    10.04 |    65622.45 | ---
  [GHOST] Particle positions (first 20):
    #0  pos( 238.1,  26.8)  mass=0.77  latent=1.993e-04  delta=+1.993e-04  PULSE
    #1  pos(  76.2, 243.8)  mass=0.77  latent=1.993e-04  delta=+1.993e-04  PULSE
    #2  pos(  13.3, 209.7)  mass=0.77  latent=1.993e-04  delta=+1.993e-04  PULSE
    #3  pos(  28.4, 244.6)  mass=0.77  latent=1.993e-04  delta=+1.993e-04  PULSE
    #4  pos( 247.4,   4.6)  mass=0.77  latent=1.993e-04  delta=+1.993e-04  PULSE
    #5  pos(  10.5,  60.5)  mass=0.77  latent=1.993e-04  delta=+1.993e-04  PULSE
    #6  pos( 152.5,  51.4)  mass=0.77  latent=1.993e-04  delta=+1.993e-04  PULSE
    #7  pos(  52.6, 242.3)  mass=0.77  latent=1.993e-04  delta=+1.993e-04  PULSE
    #8  pos(  72.7,  63.3)  mass=0.77  latent=1.993e-04  delta=+1.993e-04  PULSE
    #9  pos(  87.8, 159.2)  mass=0.77  latent=1.993e-04  delta=+1.993e-04  PULSE
    #10  pos(  23.8, 145.1)  mass=0.77  latent=1.993e-04  delta=+1.993e-04  PULSE
    #11  pos(  44.9, 202.1)  mass=0.77  latent=1.993e-04  delta=+1.993e-04  PULSE
    #12  pos( 212.0,  86.0)  mass=0.77  latent=1.993e-04  delta=+1.993e-04  PULSE
   401 | 0:10:24 | 1.2553 | 5.129550e-08 | [1.00117,1.00117] | 7.175e-13 |   13 |    10.06 |    65622.47 | ---
   402 | 0:10:27 | 1.2475 | 5.129550e-08 | [1.00117,1.00117] | 2.792e-12 |   13 |    10.09 |    65622.50 | ---
   403 | 0:10:29 | 1.2391 | 4.998583e-08 | [1.00117,1.00117] | 7.850e-13 |   13 |    10.11 |    65622.52 | ---
   404 | 0:10:32 | 1.2519 | 5.392940e-08 | [1.00117,1.00117] | 6.970e-13 |   13 |    10.14 |    65622.55 | ---
   405 | 0:10:35 | 1.2540 | 5.000038e-08 | [1.00117,1.00117] | 7.547e-13 |   13 |    10.16 |    65622.57 | ---
   406 | 0:10:38 | 1.2677 | 5.000038e-08 | [1.00117,1.00117] | 4.407e-13 |   13 |    10.19 |    65622.60 | ---
   407 | 0:10:41 | 1.2786 | 5.129550e-08 | [1.00117,1.00117] | 2.761e-12 |   13 |    10.22 |    65622.62 | ---
   408 | 0:10:44 | 1.2498 | 4.998583e-08 | [1.00117,1.00117] | 7.520e-13 |   13 |    10.24 |    65622.65 | ---
   409 | 0:10:47 | 1.2639 | 5.000038e-08 | [1.00117,1.00117] | 7.003e-13 |   13 |    10.27 |    65622.67 | ---
   410 | 0:10:49 | 1.2736 | 4.998583e-08 | [1.00117,1.00117] | 2.793e-12 |   13 |    10.29 |    65622.70 | ---
   411 | 0:10:52 | 1.2488 | 4.998583e-08 | [1.00117,1.00117] | 6.234e-13 |   13 |    10.32 |    65622.72 | ---
   412 | 0:10:55 | 1.2598 | 5.000038e-08 | [1.00117,1.00117] | 7.954e-13 |   13 |    10.34 |    65622.75 | ---
   413 | 0:10:58 | 1.2499 | 4.998583e-08 | [1.00117,1.00117] | 7.296e-13 |   13 |    10.37 |    65622.77 | ---
   414 | 0:11:01 | 1.2504 | 4.998583e-08 | [1.00117,1.00117] | 7.085e-13 |   13 |    10.39 |    65622.80 | ---
   415 | 0:11:03 | 1.2451 | 5.129550e-08 | [1.00117,1.00117] | 2.784e-12 |   13 |    10.42 |    65622.82 | ---
   416 | 0:11:05 | 1.2828 | 5.129550e-08 | [1.00117,1.00117] | 2.783e-12 |   13 |    10.44 |    65622.85 | ---
   417 | 0:11:07 | 1.2495 | 5.129550e-08 | [1.00117,1.00117] | 7.482e-13 |   13 |    10.47 |    65622.87 | ---
   418 | 0:11:09 | 1.2489 | 5.129550e-08 | [1.00117,1.00117] | 6.621e-13 |   13 |    10.49 |    65622.90 | ---
   419 | 0:11:11 | 1.2475 | 4.998583e-08 | [1.00117,1.00117] | 2.772e-12 |   13 |    10.52 |    65622.92 | ---
   420 | 0:11:14 | 1.2279 | 5.129550e-08 | [1.00117,1.00117] | 2.864e-12 |   13 |    10.54 |    65622.95 | ---
   421 | 0:11:17 | 1.2269 | 5.131005e-08 | [1.00117,1.00117] | 7.521e-13 |   13 |    10.57 |    65622.97 | ---
   422 | 0:11:20 | 1.2472 | 4.998583e-08 | [1.00117,1.00117] | 2.752e-12 |   13 |    10.59 |    65623.00 | ---
   423 | 0:11:23 | 1.2449 | 4.998583e-08 | [1.00117,1.00117] | 2.775e-12 |   13 |    10.62 |    65623.02 | ---
   424 | 0:11:26 | 1.2252 | 5.131005e-08 | [1.00117,1.00117] | 2.864e-12 |   13 |    10.64 |    65623.05 | ---
   425 | 0:11:28 | 1.2421 | 5.129550e-08 | [1.00117,1.00117] | 5.610e-13 |   13 |    10.67 |    65623.07 | ---
   426 | 0:11:31 | 1.2508 | 4.998583e-08 | [1.00117,1.00117] | 7.257e-13 |   13 |    10.69 |    65623.10 | ---
   427 | 0:11:34 | 1.2465 | 5.000038e-08 | [1.00117,1.00117] | 2.748e-12 |   13 |    10.72 |    65623.12 | ---
   428 | 0:11:37 | 1.2417 | 5.131005e-08 | [1.00117,1.00117] | 2.744e-12 |   13 |    10.74 |    65623.15 | ---
   429 | 0:11:40 | 1.2299 | 5.392940e-08 | [1.00117,1.00117] | 7.691e-13 |   13 |    10.77 |    65623.17 | ---
   430 | 0:11:43 | 1.2509 | 4.998583e-08 | [1.00117,1.00117] | 6.992e-13 |   13 |    10.79 |    65623.20 | ---
   431 | 0:11:46 | 1.2478 | 5.129550e-08 | [1.00117,1.00117] | 4.276e-13 |   13 |    10.82 |    65623.22 | ---
   432 | 0:11:49 | 1.2421 | 4.998583e-08 | [1.00117,1.00117] | 2.754e-12 |   13 |    10.84 |    65623.25 | ---
   433 | 0:11:51 | 1.2589 | 4.998583e-08 | [1.00117,1.00117] | 6.969e-13 |   13 |    10.87 |    65623.27 | ---
   434 | 0:11:54 | 1.2520 | 5.129550e-08 | [1.00117,1.00117] | 6.942e-13 |   13 |    10.89 |    65623.30 | ---
   435 | 0:11:57 | 1.2473 | 4.998583e-08 | [1.00117,1.00117] | 2.748e-12 |   13 |    10.92 |    65623.32 | ---
   436 | 0:12:00 | 1.2546 | 4.998583e-08 | [1.00117,1.00117] | 7.449e-13 |   13 |    10.94 |    65623.35 | ---
   437 | 0:12:03 | 1.2571 | 5.131005e-08 | [1.00117,1.00117] | 8.532e-13 |   13 |    10.97 |    65623.37 | ---
   438 | 0:12:06 | 1.2354 | 4.998583e-08 | [1.00117,1.00117] | 7.541e-13 |   13 |    10.99 |    65623.40 | ---
   439 | 0:12:09 | 1.2511 | 5.129550e-08 | [1.00117,1.00117] | 7.246e-13 |   13 |    11.02 |    65623.42 | ---
   440 | 0:12:12 | 1.2609 | 5.261973e-08 | [1.00117,1.00117] | 8.013e-13 |   13 |    11.04 |    65623.45 | ---
   441 | 0:12:15 | 1.2497 | 5.525362e-08 | [1.00117,1.00117] | 7.387e-13 |   13 |    11.07 |    65623.47 | ---
   442 | 0:12:17 | 1.2419 | 4.998583e-08 | [1.00117,1.00117] | 7.655e-13 |   13 |    11.09 |    65623.50 | ---
   443 | 0:12:20 | 1.2543 | 5.261973e-08 | [1.00117,1.00117] | 7.550e-13 |   13 |    11.12 |    65623.53 | ---
   444 | 0:12:23 | 1.2532 | 4.998583e-08 | [1.00117,1.00117] | 6.906e-13 |   13 |    11.14 |    65623.55 | ---
   445 | 0:12:26 | 1.2552 | 5.129550e-08 | [1.00117,1.00117] | 6.970e-13 |   13 |    11.17 |    65623.58 | ---
   446 | 0:12:29 | 1.2565 | 5.000038e-08 | [1.00117,1.00117] | 7.925e-13 |   13 |    11.19 |    65623.60 | ---
   447 | 0:12:32 | 1.2593 | 4.998583e-08 | [1.00117,1.00117] | 3.804e-13 |   13 |    11.22 |    65623.63 | ---
   448 | 0:12:35 | 1.2434 | 5.260517e-08 | [1.00117,1.00117] | 2.761e-12 |   13 |    11.24 |    65623.65 | ---
   449 | 0:12:38 | 1.2518 | 4.998583e-08 | [1.00117,1.00117] | 7.118e-13 |   13 |    11.27 |    65623.68 | ---
   450 | 0:12:41 | 1.2465 | 4.998583e-08 | [1.00117,1.00117] | 2.763e-12 |   13 |    11.29 |    65623.70 | ---
  [GHOST] Particle positions (first 20):
    #0  pos(  45.4, 219.6)  mass=0.87  latent=1.993e-04  delta=+1.993e-04  PULSE
    #1  pos( 139.4, 180.6)  mass=0.87  latent=1.993e-04  delta=+1.993e-04  PULSE
    #2  pos(  76.5, 146.5)  mass=0.87  latent=1.993e-04  delta=+1.993e-04  PULSE
    #3  pos(  91.6, 181.4)  mass=0.87  latent=1.993e-04  delta=+1.993e-04  PULSE
    #4  pos(  54.6, 197.4)  mass=0.87  latent=1.993e-04  delta=+1.993e-04  PULSE
    #5  pos(  73.7, 253.3)  mass=0.87  latent=1.993e-04  delta=+1.993e-04  PULSE
    #6  pos( 215.8, 244.2)  mass=0.87  latent=1.993e-04  delta=+1.993e-04  PULSE
    #7  pos( 115.9, 179.1)  mass=0.87  latent=1.993e-04  delta=+1.993e-04  PULSE
    #8  pos( 135.9,   0.1)  mass=0.87  latent=1.993e-04  delta=+1.993e-04  PULSE
    #9  pos( 151.1,  96.0)  mass=0.87  latent=1.993e-04  delta=+1.993e-04  PULSE
    #10  pos(  87.1,  81.9)  mass=0.87  latent=1.993e-04  delta=+1.993e-04  PULSE
    #11  pos( 108.1, 138.9)  mass=0.87  latent=1.993e-04  delta=+1.993e-04  PULSE
    #12  pos(  19.2,  22.8)  mass=0.87  latent=1.993e-04  delta=+1.993e-04  PULSE
   451 | 0:12:43 | 1.2727 | 5.129550e-08 | [1.00117,1.00117] | 6.702e-13 |   13 |    11.32 |    65623.73 | ---
   452 | 0:12:46 | 1.2905 | 6.708433e-08 | [1.00117,1.00117] | 2.778e-12 |   13 |    11.34 |    65623.75 | ---
   453 | 0:12:49 | 1.2532 | 5.129550e-08 | [1.00117,1.00117] | 7.226e-13 |   13 |    11.37 |    65623.78 | ---
   454 | 0:12:52 | 1.2472 | 4.998583e-08 | [1.00117,1.00117] | 2.778e-12 |   13 |    11.40 |    65623.80 | ---
   455 | 0:12:55 | 1.2446 | 5.131005e-08 | [1.00117,1.00117] | 2.768e-12 |   13 |    11.42 |    65623.83 | ---
   456 | 0:12:58 | 1.2439 | 5.131005e-08 | [1.00117,1.00117] | 2.765e-12 |   13 |    11.45 |    65623.85 | ---
   457 | 0:13:01 | 1.2500 | 5.000038e-08 | [1.00117,1.00117] | 6.199e-13 |   13 |    11.47 |    65623.88 | ---
   458 | 0:13:04 | 1.2406 | 4.998583e-08 | [1.00117,1.00117] | 2.775e-12 |   13 |    11.50 |    65623.90 | ---
   459 | 0:13:07 | 1.2498 | 4.998583e-08 | [1.00117,1.00117] | 7.419e-13 |   13 |    11.52 |    65623.93 | ---
   460 | 0:13:10 | 1.2436 | 4.998583e-08 | [1.00117,1.00117] | 2.751e-12 |   13 |    11.55 |    65623.95 | ---
   461 | 0:13:12 | 1.2586 | 4.998583e-08 | [1.00117,1.00117] | 2.767e-12 |   13 |    11.57 |    65623.98 | ---
   462 | 0:13:15 | 1.2455 | 4.998583e-08 | [1.00117,1.00117] | 2.756e-12 |   13 |    11.60 |    65624.00 | ---
   463 | 0:13:18 | 1.2572 | 5.129550e-08 | [1.00117,1.00117] | 8.464e-13 |   13 |    11.62 |    65624.03 | ---
   464 | 0:13:21 | 1.2536 | 4.998583e-08 | [1.00117,1.00117] | 7.211e-13 |   13 |    11.65 |    65624.05 | ---
   465 | 0:13:24 | 1.2576 | 4.998583e-08 | [1.00117,1.00117] | 7.210e-13 |   13 |    11.67 |    65624.08 | ---
   466 | 0:13:27 | 1.2487 | 4.998583e-08 | [1.00117,1.00117] | 6.406e-13 |   13 |    11.70 |    65624.10 | ---
   467 | 0:13:30 | 1.2542 | 5.392940e-08 | [1.00117,1.00117] | 7.286e-13 |   13 |    11.72 |    65624.13 | ---
   468 | 0:13:33 | 1.2593 | 4.998583e-08 | [1.00117,1.00117] | 7.999e-13 |   13 |    11.75 |    65624.15 | ---
   469 | 0:13:35 | 1.2664 | 4.998583e-08 | [1.00117,1.00117] | 2.804e-12 |   13 |    11.77 |    65624.18 | ---
   470 | 0:13:38 | 1.2461 | 4.998583e-08 | [1.00117,1.00117] | 2.754e-12 |   13 |    11.80 |    65624.20 | ---
   471 | 0:13:41 | 1.2393 | 5.261973e-08 | [1.00117,1.00117] | 2.770e-12 |   13 |    11.82 |    65624.23 | ---
   472 | 0:13:44 | 1.2466 | 4.998583e-08 | [1.00117,1.00117] | 2.779e-12 |   13 |    11.85 |    65624.25 | ---
   473 | 0:13:47 | 1.2465 | 4.998583e-08 | [1.00117,1.00117] | 2.769e-12 |   13 |    11.87 |    65624.28 | ---
   474 | 0:13:50 | 1.2834 | 4.998583e-08 | [1.00117,1.00117] | 2.765e-12 |   13 |    11.90 |    65624.30 | ---
   475 | 0:13:53 | 1.2443 | 5.129550e-08 | [1.00117,1.00117] | 2.765e-12 |   13 |    11.92 |    65624.33 | ---
   476 | 0:13:56 | 1.2414 | 4.998583e-08 | [1.00117,1.00117] | 2.748e-12 |   13 |    11.95 |    65624.35 | ---
   477 | 0:13:59 | 1.2454 | 5.000038e-08 | [1.00117,1.00117] | 2.757e-12 |   13 |    11.97 |    65624.38 | ---
   478 | 0:14:01 | 1.2452 | 4.998583e-08 | [1.00117,1.00117] | 2.780e-12 |   13 |    12.00 |    65624.40 | ---
   479 | 0:14:04 | 1.2612 | 5.000038e-08 | [1.00117,1.00117] | 2.771e-12 |   13 |    12.02 |    65624.43 | ---
   480 | 0:14:07 | 1.2423 | 4.998583e-08 | [1.00117,1.00117] | 2.780e-12 |   13 |    12.05 |    65624.45 | ---
   481 | 0:14:10 | 1.2429 | 5.131005e-08 | [1.00117,1.00117] | 2.750e-12 |   13 |    12.07 |    65624.48 | ---
   482 | 0:14:13 | 1.2500 | 4.998583e-08 | [1.00117,1.00117] | 6.782e-13 |   13 |    12.10 |    65624.50 | ---
   483 | 0:14:16 | 1.2782 | 4.998583e-08 | [1.00117,1.00117] | 7.157e-13 |   13 |    12.12 |    65624.53 | ---
   484 | 0:14:19 | 1.2450 | 5.131005e-08 | [1.00117,1.00117] | 2.785e-12 |   13 |    12.15 |    65624.55 | ---
   485 | 0:14:22 | 1.2559 | 4.998583e-08 | [1.00117,1.00117] | 7.387e-13 |   13 |    12.17 |    65624.58 | ---
   486 | 0:14:25 | 1.2413 | 4.998583e-08 | [1.00117,1.00117] | 2.757e-12 |   13 |    12.20 |    65624.60 | ---
   487 | 0:14:27 | 1.2192 | 4.998583e-08 | [1.00117,1.00117] | 7.478e-13 |   13 |    12.22 |    65624.63 | ---
   488 | 0:14:30 | 1.2100 | 4.998583e-08 | [1.00117,1.00117] | 8.180e-13 |   13 |    12.25 |    65624.65 | ---
   489 | 0:14:33 | 1.2544 | 5.131005e-08 | [1.00117,1.00117] | 7.871e-13 |   13 |    12.27 |    65624.68 | ---
   490 | 0:14:36 | 1.2455 | 4.998583e-08 | [1.00117,1.00117] | 2.745e-12 |   13 |    12.30 |    65624.71 | ---
   491 | 0:14:39 | 1.2427 | 5.129550e-08 | [1.00117,1.00117] | 2.777e-12 |   13 |    12.32 |    65624.73 | ---
   492 | 0:14:42 | 1.2674 | 5.394395e-08 | [1.00117,1.00117] | 2.766e-12 |   13 |    12.35 |    65624.76 | ---
   493 | 0:14:45 | 1.2503 | 4.998583e-08 | [1.00117,1.00117] | 7.276e-13 |   13 |    12.37 |    65624.78 | ---
   494 | 0:14:48 | 1.2583 | 5.129550e-08 | [1.00117,1.00117] | 9.023e-13 |   13 |    12.40 |    65624.81 | ---
   495 | 0:14:51 | 1.2660 | 4.998583e-08 | [1.00117,1.00117] | 8.928e-13 |   13 |    12.42 |    65624.83 | ---
   496 | 0:14:53 | 1.2646 | 5.131005e-08 | [1.00117,1.00117] | 2.768e-12 |   13 |    12.45 |    65624.86 | ---
   497 | 0:14:56 | 1.2634 | 4.998583e-08 | [1.00117,1.00117] | 2.780e-12 |   13 |    12.47 |    65624.88 | ---
   498 | 0:14:59 | 1.2543 | 5.000038e-08 | [1.00117,1.00117] | 6.323e-13 |   13 |    12.50 |    65624.91 | ---
   499 | 0:15:02 | 1.2510 | 5.131005e-08 | [1.00117,1.00117] | 7.176e-13 |   13 |    12.52 |    65624.93 | ---
   500 | 0:15:04 | 1.2462 | 4.998583e-08 | [1.00117,1.00117] | 2.794e-12 |   13 |    12.55 |    65624.96 | ---
  [GHOST] Particle positions (first 20):
