sweep,parameter,value,coh_mean,coh_min,coh_max,asym_mean,vort_mean,vel_var_mean,stress_xx_mean,stress_yy_mean,stress_xy_mean,n_samples
2f,khra_amp,0.031,0.680553,0.679000,0.682000,32.577472,0.027474,0.002409,-0.000538,0.000539,-0.000180,501
2f,khra_amp,0.031,0.680924,0.679000,0.683400,32.504517,0.027527,0.002419,-0.000535,0.000536,-0.000179,501
2f,khra_amp,0.032,0.679353,0.677400,0.680800,32.843645,0.027236,0.002371,-0.000544,0.000543,-0.000184,501
2f,khra_amp,0.032,0.680062,0.677800,0.683600,32.702114,0.027359,0.002391,-0.000536,0.000540,-0.000183,501
2f,khra_amp,0.033,0.677827,0.676000,0.679300,33.178996,0.026962,0.002334,-0.000551,0.000545,-0.000189,501
2f,khra_amp,0.033,0.678923,0.676200,0.683700,32.956751,0.027159,0.002363,-0.000541,0.000542,-0.000186,501
2f,khra_amp,0.034,0.676303,0.674600,0.678500,33.515770,0.026707,0.002298,-0.000557,0.000547,-0.000193,501
2f,khra_amp,0.034,0.677771,0.674600,0.683900,33.215941,0.026970,0.002337,-0.000547,0.000543,-0.000189,501
2f,khra_amp,0.035,0.674822,0.673100,0.677400,33.847222,0.026439,0.002264,-0.000563,0.000549,-0.000196,501
2f,khra_amp,0.035,0.676636,0.673200,0.683800,33.474468,0.026770,0.002311,-0.000551,0.000545,-0.000192,501
3,gixx_amp,0.002,0.683031,0.680000,0.683800,32.177550,0.022242,0.002395,-0.000480,0.000536,-0.000181,501
3,gixx_amp,0.002,0.682576,0.678200,0.686500,32.271619,0.023615,0.002411,-0.000497,0.000534,-0.000180,501
3,gixx_amp,0.003,0.682897,0.680200,0.684300,32.228132,0.023022,0.002399,-0.000485,0.000534,-0.000182,501
3,gixx_amp,0.003,0.682495,0.677800,0.686200,32.310598,0.024204,0.002414,-0.000499,0.000533,-0.000181,501
3,gixx_amp,0.004,0.682473,0.680300,0.684100,32.331600,0.023816,0.002393,-0.000492,0.000538,-0.000185,501
3,gixx_amp,0.004,0.682243,0.678900,0.685400,32.380242,0.024813,0.002409,-0.000503,0.000535,-0.000184,501
3,gixx_amp,0.005,0.682300,0.680600,0.683400,32.384824,0.024766,0.002399,-0.000499,0.000539,-0.000183,501
3,gixx_amp,0.005,0.682154,0.679900,0.684400,32.416830,0.025533,0.002413,-0.000509,0.000539,-0.000182,501
3,gixx_amp,0.006,0.682317,0.680200,0.683600,32.400514,0.025748,0.002412,-0.000507,0.000541,-0.000184,501
3,gixx_amp,0.006,0.682175,0.680100,0.684100,32.431771,0.026274,0.002423,-0.000515,0.000543,-0.000182,501
3,gixx_amp,0.007,0.681743,0.679800,0.683400,32.536184,0.026584,0.002429,-0.000520,0.000537,-0.000179,501
3,gixx_amp,0.007,0.681673,0.679900,0.683600,32.553035,0.026889,0.002435,-0.000526,0.000539,-0.000176,501
3,gixx_amp,0.008,0.681389,0.679900,0.682800,32.628869,0.027752,0.002449,-0.000535,0.000534,-0.000176,501
3,gixx_amp,0.008,0.681377,0.680000,0.682700,32.633223,0.027762,0.002450,-0.000535,0.000537,-0.000173,501
3,gixx_amp,0.009,0.682508,0.680200,0.683700,32.423900,0.029416,0.002478,-0.000540,0.000532,-0.000175,501
3,gixx_amp,0.009,0.682252,0.679700,0.683700,32.477459,0.029000,0.002471,-0.000539,0.000535,-0.000174,501
3,gixx_amp,0.01,0.682478,0.679900,0.683800,32.448416,0.030972,0.002517,-0.000592,0.000515,-0.000199,501
3,gixx_amp,0.01,0.682228,0.679900,0.683400,32.500890,0.030176,0.002500,-0.000581,0.000520,-0.000193,501
3,gixx_amp,0.011,0.681649,0.680100,0.684800,32.637730,0.032349,0.002573,-0.000616,0.000517,-0.000188,501
3,gixx_amp,0.011,0.681272,0.678500,0.683900,32.716355,0.031131,0.002543,-0.000607,0.000518,-0.000185,501
3,gixx_amp,0.012,0.684127,0.681200,0.686900,32.163008,0.034206,0.002617,-0.000620,0.000506,-0.000199,501
3,gixx_amp,0.012,0.683337,0.678900,0.685800,32.323591,0.032564,0.002576,-0.000608,0.000509,-0.000192,501
3,gixx_amp,0.013,0.686359,0.681000,0.689000,31.749434,0.036030,0.002666,-0.000642,0.000498,-0.000205,501
3,gixx_amp,0.013,0.685136,0.678800,0.688700,31.993575,0.033952,0.002613,-0.000620,0.000500,-0.000199,501
3,gixx_amp,0.014,0.688494,0.680300,0.691700,31.364140,0.037824,0.002716,-0.000665,0.000491,-0.000213,501
3,gixx_amp,0.014,0.686780,0.679000,0.691700,31.700650,0.035303,0.002651,-0.000634,0.000492,-0.000204,501
3,gixx_amp,0.015,0.690631,0.680000,0.694500,30.984982,0.039531,0.002753,-0.000699,0.000482,-0.000225,501
3,gixx_amp,0.015,0.688524,0.679700,0.694500,31.393423,0.036586,0.002675,-0.000654,0.000483,-0.000214,501
3,gixx_amp,0.016,0.691494,0.681000,0.696100,30.845187,0.041302,0.002778,-0.000747,0.000469,-0.000248,501
3,gixx_amp,0.016,0.689479,0.680500,0.696100,31.233169,0.037899,0.002684,-0.000682,0.000479,-0.000227,501
3,gixx_amp,0.017,0.692367,0.683200,0.697300,30.703928,0.043092,0.002845,-0.000766,0.000469,-0.000253,501
3,gixx_amp,0.017,0.690092,0.680300,0.697300,31.141142,0.039243,0.002737,-0.000699,0.000473,-0.000231,501
3,gixx_amp,0.018,0.693280,0.683400,0.698700,30.556642,0.044962,0.002918,-0.000773,0.000476,-0.000253,501
3,gixx_amp,0.018,0.690780,0.680300,0.698700,31.034612,0.040612,0.002792,-0.000725,0.000470,-0.000242,501
3,gixx_amp,0.019,0.694368,0.684600,0.700000,30.378095,0.046965,0.003006,-0.000790,0.000474,-0.000258,501
3,gixx_amp,0.019,0.691534,0.680300,0.699900,30.918360,0.042101,0.002859,-0.000747,0.000468,-0.000254,501
3,gixx_amp,0.02,0.695447,0.684600,0.701700,30.203452,0.048972,0.003084,-0.000812,0.000475,-0.000264,501
3,gixx_amp,0.02,0.692439,0.680600,0.701700,30.772786,0.043592,0.002913,-0.000767,0.000468,-0.000267,501
